Redshift,K-band mag,K-band dmag
 0.178, 19.879, 0.144
 0.107, 18.317, 0.036
 0.188, 21.804, 0.659
 0.100, 19.928, 0.150
 0.188, 19.687, 0.122
 0.125, 19.048, 0.069
 0.167, 17.368, 0.015
 0.130, 21.529, 0.542
 0.098, 21.236, 0.436
 0.170, 15.467, 0.003
 0.113, 21.485, 0.525
 0.191, 17.726, 0.021
 0.196, 20.034, 0.164
 0.174, 18.727, 0.052
 0.123, 20.841, 0.321
 0.041, 19.159, 0.077
 0.112, 20.406, 0.225
 0.110, 21.049, 0.378
 0.169, 16.194, 0.005
 0.171, 15.981, 0.004
 0.181, 21.202, 0.425
 0.189, 16.545, 0.007
 0.141, 21.793, 0.654
 0.143, 18.171, 0.031
 0.128, 19.825, 0.137
 0.114, 18.822, 0.057
 0.177, 18.922, 0.062
 0.109, 21.022, 0.370
 0.194, 19.975, 0.156
 0.067, 21.605, 0.573
 0.101, 19.699, 0.123
 0.156, 20.315, 0.209
 0.051, 21.073, 0.385
 0.176, 20.417, 0.227
 0.077, 21.353, 0.477
 0.115, 19.944, 0.152
 0.092, 21.086, 0.389
 0.198, 21.848, 0.679
 0.122, 18.419, 0.039
 0.150, 19.411, 0.096
 0.113, 21.419, 0.500
 0.128, 20.718, 0.291
 0.027, 20.399, 0.224
 0.101, 20.969, 0.355
 0.175, 18.195, 0.032
 0.189, 17.853, 0.024
 0.166, 21.978, 0.742
 0.056, 20.250, 0.198
 0.140, 21.042, 0.376
 0.174, 20.705, 0.288
 0.029, 21.088, 0.390
 0.157, 20.896, 0.335
 0.179, 20.976, 0.357
 0.146, 20.818, 0.315
 0.163, 20.731, 0.294
 0.191, 20.176, 0.186
 0.179, 19.960, 0.154
 0.164, 18.180, 0.032
 0.092, 21.139, 0.405
 0.098, 18.181, 0.032
 0.135, 19.796, 0.134
 0.134, 19.577, 0.111
 0.198, 20.713, 0.289
 0.106, 20.642, 0.273
 0.128, 21.020, 0.370
 0.106, 18.734, 0.052
 0.186, 20.297, 0.206
 0.107, 19.330, 0.089
 0.185, 21.177, 0.417
 0.191, 21.166, 0.414
 0.094, 21.332, 0.469
 0.162, 17.870, 0.024
 0.171, 19.134, 0.075
 0.129, 21.493, 0.528
 0.059, 18.316, 0.036
 0.199, 18.985, 0.066
 0.175, 17.996, 0.027
 0.136, 19.544, 0.108
 0.158, 19.740, 0.128
 0.155, 17.054, 0.011
 0.162, 19.847, 0.140
 0.153, 20.271, 0.201
 0.131, 21.285, 0.453
 0.111, 21.890, 0.699
 0.050, 20.838, 0.320
 0.184, 21.419, 0.500
 0.189, 21.691, 0.609
 0.191, 20.592, 0.263
 0.174, 19.533, 0.107
 0.077, 20.758, 0.300
 0.184, 21.223, 0.432
 0.145, 21.374, 0.484
 0.080, 21.544, 0.548
 0.159, 20.995, 0.362
 0.026, 20.823, 0.316
 0.152, 21.130, 0.402
 0.141, 19.152, 0.076
 0.197, 21.893, 0.700
 0.168, 16.400, 0.006
 0.189, 21.964, 0.735
 0.137, 20.689, 0.284
 0.169, 20.903, 0.337
 0.149, 14.122, 0.001
 0.050, 14.569, 0.001
 0.160, 21.796, 0.656
 0.068, 21.923, 0.715
 0.196, 21.434, 0.506
 0.178, 20.329, 0.211
 0.167, 20.443, 0.232
 0.153, 17.349, 0.015
 0.185, 20.794, 0.309
 0.132, 19.019, 0.068
 0.110, 19.800, 0.134
 0.100, 19.019, 0.068
 0.104, 21.846, 0.678
 0.142, 18.209, 0.033
 0.157, 19.604, 0.113
 0.186, 20.740, 0.296
 0.163, 17.387, 0.015
 0.128, 21.225, 0.433
 0.159, 21.553, 0.552
 0.159, 20.776, 0.305
 0.135, 18.669, 0.049
 0.080, 19.971, 0.156
 0.196, 17.600, 0.019
 0.113, 20.371, 0.219
 0.159, 19.443, 0.098
 0.162, 18.073, 0.029
 0.146, 21.184, 0.419
 0.154, 19.156, 0.076
 0.124, 18.956, 0.064
 0.164, 16.283, 0.006
 0.080, 19.432, 0.097
 0.065, 20.591, 0.262
 0.148, 20.544, 0.252
 0.104, 18.617, 0.047
 0.161, 21.085, 0.389
 0.154, 21.893, 0.700
 0.122, 16.791, 0.009
 0.171, 16.942, 0.010
 0.051, 21.475, 0.521
 0.158, 19.649, 0.118
 0.070, 19.785, 0.133
 0.164, 19.969, 0.156
 0.058, 20.292, 0.205
 0.179, 19.709, 0.124
 0.162, 20.013, 0.162
 0.150, 20.096, 0.173
 0.193, 18.910, 0.061
 0.150, 21.699, 0.612
 0.117, 20.096, 0.173
 0.109, 17.809, 0.023
 0.141, 19.152, 0.076
 0.183, 21.359, 0.479
 0.140, 19.445, 0.099
 0.111, 20.387, 0.222
 0.197, 20.085, 0.172
 0.182, 19.944, 0.152
 0.079, 19.689, 0.122
 0.159, 17.141, 0.012
 0.137, 20.688, 0.284
 0.150, 19.663, 0.119
 0.187, 21.643, 0.589
 0.120, 15.384, 0.002
 0.173, 20.645, 0.274
 0.141, 18.715, 0.051
 0.200, 21.436, 0.507
 0.193, 21.745, 0.632
 0.067, 17.203, 0.013
 0.188, 20.859, 0.326
 0.089, 21.790, 0.652
 0.092, 19.078, 0.071
 0.145, 21.234, 0.436
 0.181, 21.496, 0.529
 0.078, 21.512, 0.536
 0.131, 14.543, 0.001
 0.083, 17.029, 0.011
 0.142, 17.188, 0.013
 0.154, 15.328, 0.002
 0.139, 15.427, 0.003
 0.050, 21.706, 0.616
 0.055, 19.941, 0.152
 0.106, 19.952, 0.153
 0.162, 20.027, 0.163
 0.178, 20.030, 0.164
 0.162, 21.300, 0.458
 0.048, 21.474, 0.521
 0.193, 21.735, 0.628
 0.152, 21.193, 0.422
 0.183, 21.233, 0.435
 0.068, 16.117, 0.005
 0.189, 19.907, 0.148
 0.131, 18.778, 0.054
 0.136, 18.953, 0.064
 0.060, 14.733, 0.001
 0.032, 21.455, 0.514
 0.183, 20.501, 0.244
 0.073, 20.779, 0.305
 0.051, 18.895, 0.060
 0.199, 21.799, 0.657
 0.108, 20.675, 0.281
 0.165, 21.851, 0.681
 0.112, 16.916, 0.010
 0.124, 18.079, 0.029
 0.113, 14.099, 0.001
 0.025, 19.951, 0.153
 0.091, 21.212, 0.428
 0.187, 18.513, 0.043
 0.182, 19.496, 0.103
 0.074, 20.797, 0.310
 0.185, 21.606, 0.573
 0.174, 14.856, 0.002
 0.143, 20.558, 0.255
 0.119, 21.580, 0.563
 0.180, 17.977, 0.026
 0.103, 20.691, 0.284
 0.109, 20.370, 0.218
 0.152, 16.921, 0.010
 0.164, 16.223, 0.005
 0.108, 21.873, 0.691
 0.134, 15.244, 0.002
 0.160, 19.096, 0.072
 0.092, 19.757, 0.130
 0.184, 21.655, 0.594
 0.035, 19.891, 0.145
 0.095, 21.447, 0.511
 0.177, 20.573, 0.258
 0.081, 19.303, 0.087
 0.065, 14.012, 0.001
 0.123, 21.109, 0.396
 0.055, 21.912, 0.709
 0.112, 21.927, 0.717
 0.021, 16.129, 0.005
 0.123, 21.838, 0.674
 0.179, 21.122, 0.400
 0.120, 20.562, 0.256
 0.198, 19.948, 0.153
 0.156, 19.850, 0.140
 0.093, 21.631, 0.584
 0.133, 21.067, 0.383
 0.133, 20.667, 0.279
 0.153, 19.731, 0.127
 0.192, 19.565, 0.110
 0.149, 21.623, 0.580
 0.125, 20.678, 0.281
 0.140, 19.854, 0.141
 0.188, 16.978, 0.011
 0.091, 19.178, 0.078
 0.181, 20.654, 0.276
 0.191, 20.278, 0.202
 0.114, 20.905, 0.338
 0.196, 19.328, 0.089
 0.151, 20.479, 0.239
 0.182, 21.368, 0.482
 0.134, 20.569, 0.257
 0.139, 21.974, 0.740
 0.124, 19.526, 0.106
 0.095, 21.615, 0.577
 0.147, 20.967, 0.355
 0.102, 18.230, 0.033
 0.123, 20.462, 0.236
 0.170, 19.936, 0.151
 0.115, 17.551, 0.018
 0.126, 21.711, 0.618
 0.033, 15.541, 0.003
 0.157, 21.755, 0.637
 0.182, 21.946, 0.726
 0.070, 16.059, 0.005
 0.045, 18.219, 0.033
 0.135, 21.427, 0.503
 0.109, 21.055, 0.380
 0.083, 20.687, 0.283
 0.130, 21.502, 0.532
 0.062, 21.786, 0.651
 0.151, 21.278, 0.450
 0.171, 14.132, 0.001
 0.174, 18.950, 0.064
 0.128, 19.374, 0.093
 0.196, 18.518, 0.043
 0.152, 20.737, 0.295
 0.037, 19.173, 0.078
 0.183, 15.868, 0.004
 0.164, 18.214, 0.033
 0.141, 19.630, 0.116
 0.113, 17.080, 0.012
 0.105, 19.987, 0.158
 0.124, 18.282, 0.035
 0.148, 20.058, 0.168
 0.165, 18.311, 0.036
 0.095, 16.632, 0.008
 0.159, 17.971, 0.026
 0.168, 16.529, 0.007
 0.114, 20.498, 0.243
 0.178, 15.922, 0.004
 0.132, 21.699, 0.612
 0.191, 20.843, 0.321
 0.176, 21.208, 0.427
 0.144, 18.875, 0.059
 0.109, 21.538, 0.546
 0.026, 20.778, 0.305
 0.086, 21.759, 0.639
 0.066, 21.776, 0.646
 0.149, 15.822, 0.004
 0.198, 14.353, 0.001
 0.195, 18.019, 0.027
 0.187, 15.574, 0.003
 0.139, 20.526, 0.249
 0.144, 21.049, 0.378
 0.138, 16.197, 0.005
 0.163, 20.474, 0.238
 0.088, 16.244, 0.005
 0.122, 17.996, 0.027
 0.061, 20.651, 0.275
 0.171, 15.708, 0.003
 0.055, 20.756, 0.300
 0.154, 21.423, 0.502
 0.091, 18.080, 0.029
 0.178, 21.778, 0.647
 0.090, 18.608, 0.047
 0.127, 16.697, 0.008
 0.164, 20.789, 0.308
 0.117, 21.615, 0.577
 0.061, 16.005, 0.004
 0.034, 17.824, 0.023
 0.164, 19.840, 0.139
 0.188, 16.472, 0.007
 0.187, 18.188, 0.032
 0.034, 21.777, 0.647
 0.110, 21.989, 0.747
 0.182, 21.907, 0.707
 0.139, 21.729, 0.626
 0.102, 21.123, 0.400
 0.141, 20.227, 0.194
 0.157, 20.520, 0.247
 0.185, 16.963, 0.010
 0.177, 21.540, 0.547
 0.118, 21.805, 0.660
 0.126, 21.798, 0.656
 0.075, 16.749, 0.009
 0.139, 18.075, 0.029
 0.071, 20.042, 0.166
 0.191, 21.202, 0.425
 0.121, 21.251, 0.442
 0.136, 19.510, 0.104
 0.185, 20.513, 0.246
 0.093, 21.172, 0.416
 0.101, 20.808, 0.313
 0.038, 19.780, 0.132
 0.101, 20.107, 0.175
 0.148, 21.721, 0.622
 0.012, 19.115, 0.074
 0.113, 18.359, 0.037
 0.184, 20.873, 0.329
 0.188, 18.613, 0.047
 0.129, 20.260, 0.199
 0.122, 15.696, 0.003
 0.116, 19.404, 0.095
 0.190, 21.181, 0.418
 0.176, 20.754, 0.299
 0.187, 20.278, 0.202
 0.192, 21.974, 0.740
 0.034, 21.445, 0.510
 0.110, 17.758, 0.022
 0.114, 20.397, 0.223
 0.157, 21.652, 0.592
 0.147, 19.330, 0.089
 0.122, 20.210, 0.191
 0.060, 20.636, 0.272
 0.133, 21.152, 0.409
 0.135, 20.814, 0.314
 0.191, 21.657, 0.595
 0.157, 21.676, 0.603
 0.182, 21.621, 0.579
 0.045, 20.711, 0.289
 0.108, 20.669, 0.279
 0.148, 16.776, 0.009
 0.105, 20.197, 0.189
 0.176, 17.244, 0.014
 0.180, 19.905, 0.147
 0.171, 21.026, 0.371
 0.146, 19.665, 0.120
 0.090, 18.558, 0.045
 0.166, 17.412, 0.016
 0.079, 20.684, 0.283
 0.069, 21.574, 0.560
 0.062, 20.225, 0.193
 0.122, 21.196, 0.423
 0.149, 15.966, 0.004
 0.200, 13.527, 0.000
 0.142, 21.870, 0.690
 0.104, 21.375, 0.484
 0.047, 21.588, 0.566
 0.093, 21.935, 0.721
 0.173, 19.188, 0.079
 0.100, 20.137, 0.180
 0.139, 21.926, 0.716
 0.144, 14.717, 0.001
 0.142, 20.258, 0.199
 0.158, 19.309, 0.087
 0.026, 20.164, 0.184
 0.196, 20.437, 0.231
 0.161, 20.670, 0.280
 0.150, 20.818, 0.315
 0.100, 15.177, 0.002
 0.128, 21.574, 0.560
 0.145, 19.306, 0.087
 0.087, 21.210, 0.428
 0.126, 14.553, 0.001
 0.173, 20.026, 0.163
 0.042, 21.287, 0.453
 0.187, 17.722, 0.021
 0.037, 20.676, 0.281
 0.196, 16.846, 0.009
 0.126, 18.540, 0.044
 0.164, 21.109, 0.396
 0.098, 21.839, 0.675
 0.172, 20.487, 0.241
 0.132, 20.517, 0.247
 0.196, 21.451, 0.512
 0.044, 21.992, 0.748
 0.147, 21.470, 0.520
 0.068, 14.479, 0.001
 0.039, 18.538, 0.044
 0.139, 21.922, 0.715
 0.169, 19.311, 0.088
 0.050, 20.275, 0.202
 0.095, 18.106, 0.030
 0.194, 16.651, 0.008
 0.166, 18.692, 0.050
 0.171, 15.347, 0.002
 0.197, 18.801, 0.056
 0.188, 14.922, 0.002
 0.070, 18.138, 0.031
 0.182, 18.454, 0.041
 0.152, 19.907, 0.147
 0.052, 15.960, 0.004
 0.057, 21.780, 0.648
 0.200, 21.546, 0.549
 0.088, 21.945, 0.726
 0.167, 18.982, 0.065
 0.183, 16.600, 0.007
 0.088, 18.117, 0.030
 0.184, 21.885, 0.697
 0.139, 20.825, 0.317
 0.168, 20.014, 0.162
 0.199, 21.732, 0.627
 0.071, 19.623, 0.115
 0.181, 20.421, 0.228
 0.068, 19.952, 0.153
 0.197, 17.569, 0.018
 0.139, 16.671, 0.008
 0.135, 21.303, 0.459
 0.159, 20.304, 0.207
 0.187, 21.012, 0.367
 0.072, 20.752, 0.299
 0.179, 17.777, 0.022
 0.076, 15.226, 0.002
 0.176, 21.742, 0.631
 0.174, 21.551, 0.551
 0.165, 21.389, 0.489
 0.110, 20.348, 0.215
 0.123, 20.333, 0.212
 0.165, 21.496, 0.530
 0.165, 21.909, 0.708
 0.064, 21.219, 0.431
 0.160, 18.200, 0.032
 0.182, 18.202, 0.032
 0.163, 21.379, 0.486
 0.185, 21.723, 0.623
 0.088, 21.631, 0.584
 0.109, 16.900, 0.010
 0.169, 21.542, 0.548
 0.164, 20.476, 0.239
 0.150, 20.180, 0.186
 0.151, 19.646, 0.118
 0.190, 21.631, 0.584
 0.198, 18.548, 0.044
 0.179, 18.667, 0.049
 0.182, 20.678, 0.282
 0.174, 18.143, 0.031
 0.053, 20.004, 0.160
 0.141, 21.310, 0.462
 0.034, 19.688, 0.122
 0.169, 20.288, 0.204
 0.171, 19.023, 0.068
 0.154, 16.315, 0.006
 0.027, 20.257, 0.199
 0.051, 20.897, 0.335
 0.091, 18.524, 0.043
 0.129, 19.726, 0.126
 0.199, 19.245, 0.083
 0.196, 19.769, 0.131
 0.077, 21.185, 0.420
 0.065, 21.272, 0.449
 0.112, 13.939, 0.001
 0.060, 18.858, 0.058
 0.134, 20.342, 0.213
 0.177, 18.928, 0.062
 0.071, 20.801, 0.311
 0.157, 21.818, 0.666
 0.186, 21.183, 0.419
 0.167, 20.345, 0.214
 0.175, 17.482, 0.017
 0.145, 21.521, 0.539
 0.146, 18.099, 0.029
 0.169, 19.103, 0.073
 0.122, 19.709, 0.124
 0.028, 17.455, 0.016
 0.120, 20.992, 0.362
 0.177, 21.667, 0.599
 0.162, 21.158, 0.411
 0.182, 18.646, 0.048
 0.183, 19.088, 0.072
 0.159, 20.368, 0.218
 0.133, 18.692, 0.050
 0.087, 15.841, 0.004
 0.104, 21.337, 0.471
 0.196, 21.666, 0.598
 0.150, 20.831, 0.318
 0.119, 20.637, 0.272
 0.115, 20.608, 0.266
 0.106, 18.851, 0.058
 0.163, 21.927, 0.717
 0.180, 21.682, 0.605
 0.147, 19.525, 0.106
 0.127, 20.333, 0.212
 0.199, 17.822, 0.023
 0.134, 18.120, 0.030
 0.149, 20.167, 0.184
 0.139, 21.725, 0.624
 0.184, 21.700, 0.613
 0.193, 17.438, 0.016
 0.193, 21.357, 0.478
 0.199, 17.462, 0.016
 0.199, 21.062, 0.382
 0.185, 21.821, 0.667
 0.186, 21.501, 0.532
 0.099, 20.621, 0.269
 0.113, 21.847, 0.679
 0.057, 21.292, 0.455
 0.176, 21.225, 0.433
 0.089, 19.015, 0.067
 0.192, 20.901, 0.337
 0.154, 21.637, 0.586
 0.190, 19.882, 0.144
 0.160, 21.550, 0.551
 0.165, 19.552, 0.108
 0.115, 21.882, 0.695
 0.107, 20.344, 0.214
 0.138, 19.686, 0.122
 0.174, 20.421, 0.228
 0.183, 19.064, 0.070
 0.096, 19.092, 0.072
 0.121, 20.072, 0.170
 0.053, 21.317, 0.464
 0.034, 20.263, 0.200
 0.150, 15.766, 0.003
 0.167, 17.392, 0.015
 0.152, 21.276, 0.450
 0.033, 14.140, 0.001
 0.150, 20.894, 0.335
 0.065, 20.696, 0.286
 0.170, 21.784, 0.650
 0.079, 20.771, 0.303
 0.091, 21.037, 0.375
 0.200, 21.061, 0.382
 0.140, 17.989, 0.027
 0.177, 21.874, 0.691
 0.184, 19.655, 0.119
 0.126, 16.541, 0.007
 0.076, 21.722, 0.622
 0.100, 15.515, 0.003
 0.085, 20.391, 0.222
 0.185, 21.984, 0.745
 0.133, 16.833, 0.009
 0.137, 19.253, 0.083
 0.190, 19.586, 0.112
 0.124, 20.158, 0.183
 0.053, 21.171, 0.416
 0.185, 21.771, 0.644
 0.184, 20.885, 0.332
 0.099, 20.349, 0.215
 0.155, 20.198, 0.189
 0.184, 21.467, 0.518
 0.180, 17.879, 0.024
 0.113, 21.890, 0.699
 0.148, 18.665, 0.049
 0.146, 20.464, 0.236
 0.137, 21.697, 0.612
 0.189, 19.355, 0.091
 0.059, 20.547, 0.253
 0.191, 21.861, 0.686
 0.196, 18.921, 0.062
 0.127, 21.490, 0.527
 0.132, 14.630, 0.001
 0.169, 21.587, 0.565
 0.158, 16.210, 0.005
 0.174, 19.326, 0.089
 0.126, 21.680, 0.604
 0.060, 19.441, 0.098
 0.146, 17.317, 0.014
 0.140, 15.293, 0.002
 0.042, 21.837, 0.674
 0.152, 16.142, 0.005
 0.076, 18.617, 0.047
 0.157, 20.583, 0.261
 0.189, 14.841, 0.001
 0.198, 21.864, 0.687
 0.029, 14.328, 0.001
 0.135, 21.888, 0.698
 0.106, 20.090, 0.173
 0.107, 19.964, 0.155
 0.173, 17.825, 0.023
 0.195, 16.294, 0.006
 0.168, 19.217, 0.081
 0.114, 21.847, 0.679
 0.137, 21.165, 0.413
 0.109, 21.518, 0.538
 0.123, 21.558, 0.554
 0.173, 16.444, 0.006
 0.145, 20.956, 0.352
 0.149, 21.364, 0.481
 0.161, 19.583, 0.111
 0.144, 18.502, 0.042
 0.189, 17.977, 0.026
 0.134, 20.955, 0.351
 0.057, 21.537, 0.546
 0.153, 18.793, 0.055
 0.172, 21.630, 0.583
 0.059, 19.250, 0.083
 0.125, 16.802, 0.009
 0.159, 20.634, 0.272
 0.190, 21.461, 0.516
 0.092, 21.174, 0.416
 0.150, 15.929, 0.004
 0.152, 21.446, 0.511
 0.176, 20.639, 0.273
 0.103, 19.380, 0.093
 0.148, 21.010, 0.367
 0.122, 19.933, 0.151
 0.125, 19.158, 0.076
 0.169, 19.803, 0.135
 0.098, 20.171, 0.185
 0.192, 15.139, 0.002
 0.072, 21.209, 0.428
 0.175, 21.282, 0.452
 0.081, 20.283, 0.203
 0.035, 19.693, 0.123
 0.190, 19.566, 0.110
 0.069, 16.924, 0.010
 0.169, 20.882, 0.331
 0.177, 19.876, 0.144
 0.173, 17.715, 0.021
 0.056, 17.096, 0.012
 0.106, 20.084, 0.172
 0.131, 21.729, 0.626
 0.137, 21.474, 0.521
 0.190, 20.248, 0.197
 0.173, 19.795, 0.134
 0.143, 19.910, 0.148
 0.189, 20.411, 0.226
 0.162, 21.922, 0.714
 0.153, 18.832, 0.057
 0.111, 16.951, 0.010
 0.176, 21.535, 0.545
 0.075, 21.825, 0.669
 0.090, 21.781, 0.649
 0.175, 19.866, 0.142
 0.195, 21.567, 0.557
 0.087, 21.713, 0.618
 0.177, 18.353, 0.037
 0.175, 19.296, 0.086
 0.144, 21.363, 0.480
 0.145, 21.806, 0.660
 0.161, 19.588, 0.112
 0.184, 16.180, 0.005
 0.165, 20.731, 0.294
 0.154, 21.480, 0.523
 0.149, 14.227, 0.001
 0.037, 18.263, 0.034
 0.122, 17.621, 0.019
 0.167, 21.416, 0.499
 0.123, 18.854, 0.058
 0.107, 21.057, 0.380
 0.185, 17.961, 0.026
 0.187, 16.431, 0.006
 0.194, 19.919, 0.149
 0.199, 20.389, 0.222
 0.191, 18.000, 0.027
 0.149, 21.848, 0.679
 0.170, 19.701, 0.123
 0.188, 15.047, 0.002
 0.190, 17.822, 0.023
 0.126, 21.439, 0.508
 0.130, 21.212, 0.429
 0.179, 20.184, 0.187
 0.097, 18.846, 0.058
 0.040, 18.898, 0.061
 0.098, 21.433, 0.506
 0.155, 19.647, 0.118
 0.154, 20.924, 0.343
 0.199, 19.776, 0.132
 0.085, 16.787, 0.009
 0.148, 15.703, 0.003
 0.148, 21.371, 0.483
 0.088, 21.206, 0.427
 0.195, 21.961, 0.733
 0.174, 17.918, 0.025
 0.112, 20.486, 0.241
 0.129, 20.325, 0.210
 0.129, 17.528, 0.018
 0.199, 20.391, 0.222
 0.185, 20.508, 0.245
 0.177, 21.501, 0.532
 0.177, 16.593, 0.007
 0.122, 18.155, 0.031
 0.060, 19.768, 0.131
 0.122, 14.402, 0.001
 0.164, 15.012, 0.002
 0.171, 20.735, 0.295
 0.180, 19.205, 0.080
 0.108, 16.963, 0.010
 0.110, 16.110, 0.005
 0.124, 18.799, 0.056
 0.149, 18.036, 0.028
 0.128, 21.265, 0.446
 0.070, 21.645, 0.590
 0.160, 19.886, 0.145
 0.111, 19.047, 0.069
 0.146, 19.119, 0.074
 0.191, 18.867, 0.059
 0.100, 18.582, 0.046
 0.114, 20.709, 0.289
 0.091, 21.870, 0.690
 0.173, 17.578, 0.018
 0.174, 19.842, 0.139
 0.139, 19.233, 0.082
 0.049, 21.624, 0.581
 0.056, 18.078, 0.029
 0.128, 12.785, 0.000
 0.193, 21.819, 0.666
 0.112, 21.798, 0.656
 0.146, 21.392, 0.491
 0.083, 21.297, 0.457
 0.148, 20.476, 0.239
 0.191, 19.586, 0.112
 0.175, 21.898, 0.703
 0.139, 14.941, 0.002
 0.188, 21.315, 0.463
 0.149, 16.636, 0.008
 0.125, 21.946, 0.726
 0.078, 20.034, 0.164
 0.168, 20.610, 0.266
 0.172, 19.962, 0.155
 0.098, 18.707, 0.051
 0.197, 17.874, 0.024
 0.174, 14.422, 0.001
 0.174, 21.988, 0.747
 0.163, 20.884, 0.332
 0.051, 21.371, 0.483
 0.092, 21.797, 0.656
 0.089, 20.105, 0.175
 0.197, 17.858, 0.024
 0.127, 21.074, 0.385
 0.165, 21.336, 0.471
 0.072, 19.483, 0.102
 0.198, 15.044, 0.002
 0.098, 21.712, 0.618
 0.126, 21.411, 0.498
 0.144, 20.790, 0.308
 0.086, 13.621, 0.000
 0.195, 18.673, 0.050
 0.126, 17.415, 0.016
 0.136, 17.409, 0.016
 0.122, 20.836, 0.319
 0.193, 21.889, 0.699
 0.178, 19.018, 0.068
 0.161, 21.509, 0.534
 0.151, 21.442, 0.509
 0.037, 18.515, 0.043
 0.110, 16.029, 0.004
 0.161, 21.769, 0.643
 0.170, 20.617, 0.268
 0.113, 21.856, 0.683
 0.177, 19.080, 0.071
 0.197, 19.661, 0.119
 0.128, 19.631, 0.116
 0.188, 21.780, 0.648
 0.151, 20.950, 0.350
 0.153, 21.711, 0.618
 0.039, 21.709, 0.617
 0.064, 19.859, 0.142
 0.156, 14.883, 0.002
 0.167, 19.808, 0.135
 0.169, 18.591, 0.046
 0.168, 20.554, 0.254
 0.155, 20.893, 0.335
 0.188, 20.575, 0.259
 0.163, 21.007, 0.366
 0.101, 20.115, 0.176
 0.161, 18.165, 0.031
 0.069, 20.198, 0.189
 0.152, 21.278, 0.450
 0.075, 17.387, 0.015
 0.075, 15.149, 0.002
 0.083, 18.697, 0.051
 0.159, 19.148, 0.076
 0.165, 19.513, 0.105
 0.138, 21.321, 0.465
 0.139, 13.664, 0.001
 0.159, 21.844, 0.677
 0.196, 17.832, 0.023
 0.133, 21.666, 0.599
 0.021, 19.310, 0.087
 0.129, 17.703, 0.021
 0.191, 20.226, 0.194
 0.145, 20.512, 0.246
 0.083, 18.135, 0.030
 0.185, 21.085, 0.389
 0.052, 20.739, 0.296
 0.184, 20.410, 0.226
 0.089, 21.971, 0.738
 0.150, 21.823, 0.668
 0.171, 20.409, 0.226
 0.186, 20.306, 0.207
 0.147, 21.276, 0.450
 0.094, 20.865, 0.327
 0.085, 14.282, 0.001
 0.144, 17.094, 0.012
 0.069, 21.561, 0.555
 0.166, 18.844, 0.058
 0.154, 16.469, 0.007
 0.193, 17.945, 0.026
 0.125, 19.803, 0.135
 0.133, 19.446, 0.099
 0.037, 20.414, 0.227
 0.123, 20.844, 0.322
 0.126, 20.773, 0.304
 0.140, 19.823, 0.137
 0.190, 21.658, 0.595
 0.155, 18.786, 0.055
 0.172, 21.611, 0.575
 0.196, 19.403, 0.095
 0.133, 18.069, 0.029
 0.102, 21.651, 0.592
 0.125, 14.391, 0.001
 0.146, 21.959, 0.732
 0.103, 20.213, 0.191
 0.058, 18.571, 0.045
 0.168, 15.698, 0.003
 0.077, 21.571, 0.559
 0.191, 18.267, 0.034
 0.061, 14.670, 0.001
 0.179, 21.372, 0.483
 0.049, 19.555, 0.109
 0.189, 20.748, 0.298
 0.131, 19.113, 0.073
 0.136, 12.919, 0.000
 0.178, 18.118, 0.030
 0.134, 21.468, 0.519
 0.120, 21.572, 0.560
 0.103, 21.182, 0.419
 0.046, 12.662, 0.000
 0.183, 21.425, 0.503
 0.175, 18.954, 0.064
 0.130, 20.592, 0.262
 0.191, 17.294, 0.014
 0.089, 18.896, 0.061
 0.157, 16.370, 0.006
 0.126, 21.561, 0.555
 0.088, 21.748, 0.634
 0.057, 18.595, 0.046
 0.197, 21.738, 0.629
 0.174, 20.056, 0.168
 0.193, 18.256, 0.034
 0.066, 18.288, 0.035
 0.162, 21.842, 0.676
 0.194, 19.601, 0.113
 0.086, 19.245, 0.083
 0.132, 16.626, 0.008
 0.153, 20.554, 0.254
 0.195, 20.135, 0.179
 0.199, 21.705, 0.615
 0.169, 21.167, 0.414
 0.196, 21.842, 0.676
 0.109, 19.001, 0.066
 0.153, 21.629, 0.583
 0.118, 16.056, 0.005
 0.107, 13.951, 0.001
 0.190, 21.095, 0.392
 0.182, 18.427, 0.040
 0.164, 17.274, 0.014
 0.177, 19.626, 0.116
 0.136, 14.442, 0.001
 0.163, 20.557, 0.255
 0.200, 20.350, 0.215
 0.166, 20.435, 0.231
 0.150, 13.647, 0.000
 0.170, 21.936, 0.721
 0.168, 21.251, 0.441
 0.157, 20.809, 0.313
 0.166, 21.799, 0.657
 0.181, 18.101, 0.030
 0.077, 18.326, 0.036
 0.072, 21.792, 0.654
 0.170, 19.831, 0.138
 0.088, 20.206, 0.190
 0.192, 21.387, 0.489
 0.091, 19.819, 0.137
 0.140, 19.294, 0.086
 0.170, 21.271, 0.448
 0.162, 17.878, 0.024
 0.084, 15.138, 0.002
 0.152, 20.028, 0.164
 0.141, 18.878, 0.060
 0.098, 21.384, 0.488
 0.178, 20.489, 0.241
 0.195, 18.022, 0.027
 0.172, 20.931, 0.345
 0.164, 21.507, 0.534
 0.124, 21.724, 0.623
 0.166, 20.265, 0.200
 0.071, 21.019, 0.369
 0.162, 20.314, 0.208
 0.165, 20.285, 0.203
 0.186, 21.271, 0.448
 0.154, 15.811, 0.004
 0.086, 17.402, 0.016
 0.167, 16.777, 0.009
 0.154, 21.244, 0.439
 0.081, 21.465, 0.518
 0.159, 20.298, 0.206
